Bird_ID,Date,Days_Old,Elevation,Binocularity,Session
1,30th Jan,14,0,-11,1
1,30th Jan,14,10,-1,1
1,30th Jan,14,20,0,1
1,30th Jan,14,30,8,1
1,30th Jan,14,40,14,1
1,30th Jan,14,60,28,1
1,30th Jan,14,80,32,1
1,30th Jan,14,100,46,1
1,3rd Feb,18,10,-19,2
1,3rd Feb,18,30,-6,2
1,3rd Feb,18,50,0,2
1,3rd Feb,18,70,15,2
1,3rd Feb,18,90,30,2
1,3rd Feb,18,100,45,2
1,5th Feb,20,4,-5,3
1,5th Feb,20,24,1,3
1,5th Feb,20,44,15,3
1,5th Feb,20,64,28,3
1,5th Feb,20,84,40,3
1,5th Feb,20,104,49,3
1,5th Feb,20,124,54,3
1,10th Feb,25,-24,-4,4
1,10th Feb,25,-4,1,4
1,10th Feb,25,16,6,4
1,10th Feb,25,36,15,4
1,10th Feb,25,56,22,4
1,10th Feb,25,76,27,4
1,10th Feb,25,96,43,4
1,10th Feb,25,116,46,4
1,10th Feb,25,136,49,4
1,11th Feb,26,-5,-15,5
1,11th Feb,26,15,5,5
1,11th Feb,26,35,18,5
1,11th Feb,26,55,30,5
1,11th Feb,26,75,42,5
1,11th Feb,26,95,48,5
1,11th Feb,26,115,54,5
1,16th Feb,31,-10,-26,6
1,16th Feb,31,10,-15,6
1,16th Feb,31,30,8,6
1,16th Feb,31,50,22,6
1,16th Feb,31,70,33,6
1,16th Feb,31,90,45,6
1,16th Feb,31,110,52,6
1,18th Feb,33,-10,-26,7
1,18th Feb,33,10,-17,7
1,18th Feb,33,30,8,7
1,18th Feb,33,50,19,7
1,18th Feb,33,70,30,7
1,18th Feb,33,90,48,7
1,18th Feb,33,110,52,7
2,30th Jan,14,-25,0,1
2,30th Jan,14,-5,11,1
2,30th Jan,14,35,22,1
2,30th Jan,14,55,25,1
2,30th Jan,14,95,30,1
2,30th Jan,14,115,42,1
2,3rd Feb,18,10,-10,2
2,3rd Feb,18,30,-2,2
2,3rd Feb,18,50,19,2
2,3rd Feb,18,70,33,2
2,3rd Feb,18,90,40,2
2,3rd Feb,18,110,45,2
2,3rd Feb,18,130,52,2
2,10th Feb,25,-39,-9,4
2,10th Feb,25,-19,1,4
2,10th Feb,25,1,6,4
2,10th Feb,25,21,17,4
2,10th Feb,25,41,23,4
2,10th Feb,25,61,31,4
2,10th Feb,25,81,37,4
2,10th Feb,25,101,40,4
2,10th Feb,25,121,47,4
2,10th Feb,25,141,53,4
2,12th Feb,27,-10,-4,5
2,12th Feb,27,10,13,5
2,12th Feb,27,30,24,5
2,12th Feb,27,50,26,5
2,12th Feb,27,70,37,5
2,12th Feb,27,90,46,5
2,12th Feb,27,110,52,5
2,16th Feb,31,-30,-28,6
2,16th Feb,31,-15,0,6
2,16th Feb,31,5,8,6
2,16th Feb,31,25,13,6
2,16th Feb,31,45,24,6
2,16th Feb,31,65,34,6
2,16th Feb,31,85,45,6
2,16th Feb,31,105,51,6
2,18th Feb,33,-35,-6,7
2,18th Feb,33,-15,2,7
2,18th Feb,33,5,11,7
2,18th Feb,33,25,15,7
2,18th Feb,33,45,20,7
2,18th Feb,33,65,23,7
2,18th Feb,33,85,41,7
2,18th Feb,33,105,45,7
2,18th Feb,33,125,51,7
3,4th Feb,19,5,-9,2
3,4th Feb,19,25,-5,2
3,4th Feb,19,45,6,2
3,4th Feb,19,65,14,2
3,4th Feb,19,85,18,2
3,4th Feb,19,105,24,2
3,4th Feb,19,125,39,2
3,6th Feb,21,-3,-11,3
3,6th Feb,21,17,-4,3
3,6th Feb,21,37,1,3
3,6th Feb,21,57,9,3
3,6th Feb,21,77,24,3
3,6th Feb,21,97,28,3
3,6th Feb,21,117,39,3
3,12th Feb,27,-8,-6,5
3,12th Feb,27,12,3,5
3,12th Feb,27,32,10,5
3,12th Feb,27,52,19,5
3,12th Feb,27,72,38,5
3,12th Feb,27,92,48,5
3,12th Feb,27,112,53,5
3,16th Feb,31,-5,-6,6
3,16th Feb,31,15,1,6
3,16th Feb,31,35,9,6
3,16th Feb,31,55,21,6
3,16th Feb,31,75,27,6
3,16th Feb,31,95,33,6
3,16th Feb,31,115,51,6
3,16th Feb,31,135,54,6
3,18th Feb,33,-20,-15,7
3,18th Feb,33,0,-1,7
3,18th Feb,33,20,4,7
3,18th Feb,33,40,10,7
3,18th Feb,33,60,22,7
3,18th Feb,33,80,32,7
3,18th Feb,33,100,42,7
3,18th Feb,33,120,57,7
