Date,Age,Trial,Phase,Bird_ID,Arm,Choice,Entry_Time,Exit_Time,Halfway_Point,Contact_With_Bowl,Time_In_Arm
25th Nov,7,1,Pre-change,Chicken1,B,1,02:08:00,02:11:00,0,0,3
25th Nov,7,1,Pre-change,Chicken2,B,1,29:22:00,30:00:00,0,0,38
25th Nov,7,1,Pre-change,Chicken3,O,0,10:03:00,10:27:00,0,0,00:24:00
25th Nov,7,1,Pre-change,Chicken3,B,1,03:41:00,03:46:00,0,0,00:05:00
25th Nov,7,1,Pre-change,Chicken3,B,1,06:08:00,06:10:00,0,0,00:02:00
25th Nov,7,1,Pre-change,Chicken3,B,1,07:02:00,07:07:00,0,0,00:05:00
25th Nov,7,1,Pre-change,Chicken3,B,1,19:16:00,21:06:00,0,0,01:50:00
25th Nov,7,1,Pre-change,Chicken3,B,1,21:17:00,24:21:00,1,0,03:04:00
25th Nov,7,1,Pre-change,Chicken3,B,1,24:23:00,30:00:00,1,0,05:37:00
25th Nov,7,1,Pre-change,Chicken4,O,0,08:21:00,08:34:00,0,0,13
25th Nov,7,1,Pre-change,Chicken4,B,1,04:54:00,04:58:00,0,0,4
25th Nov,7,1,Pre-change,Chicken4,B,1,07:02:00,07:07:00,0,0,5
26th Nov,8,3,Pre-change,Chicken1,B,1,01:17:00,02:04:00,1,0,47
26th Nov,8,3,Pre-change,Chicken1,B,1,17:16:00,18:34:00,0,0,78
26th Nov,8,3,Pre-change,Chicken2,O,0,15:19:00,15:23:00,0,0,00:04:00
26th Nov,8,3,Pre-change,Chicken2,B,1,04:43:00,05:07:00,0,0,00:24:00
26th Nov,8,3,Pre-change,Chicken2,B,1,05:44:00,06:15:00,1,0,00:31:00
26th Nov,8,3,Pre-change,Chicken2,B,1,09:00:00,09:23:00,1,0,00:23:00
26th Nov,8,3,Pre-change,Chicken2,B,1,17:00:00,17:03:00,0,0,00:03:00
26th Nov,8,3,Pre-change,Chicken3,O,0,02:30:00,02:35:00,0,0,00:05:00
26th Nov,8,3,Pre-change,Chicken3,B,1,01:28:00,01:47:00,1,0,00:19:00
26th Nov,8,3,Pre-change,Chicken3,B,1,14:22:00,14:50:00,0,0,00:28:00
26th Nov,8,3,Pre-change,Chicken3,B,1,18:19:00,19:13:00,1,0,00:54:00
26th Nov,8,3,Pre-change,Chicken3,B,1,19:43:00,19:55:00,0,0,00:12:00
26th Nov,8,3,Pre-change,Chicken4,B,1,00:00:00,01:29:00,0,0,89
26th Nov,8,3,Pre-change,Chicken4,B,1,13:52:00,13:59:00,0,0,7
26th Nov,8,3,Pre-change,Chicken4,B,1,14:41:00,14:54:00,0,0,13
26th Nov,8,3,Pre-change,Chicken4,B,1,15:52:00,18:37:00,1,0,165
26th Nov,8,4,Pre-change,Chicken1,O,0,11:55:00,11:58:00,0,0,3
26th Nov,8,4,Pre-change,Chicken1,B,1,04:35:00,04:47:00,1,0,12
26th Nov,8,4,Pre-change,Chicken4,O,0,05:56:00,05:57:00,0,0,1
26th Nov,8,4,Pre-change,Chicken4,O,0,08:26:00,08:29:00,0,0,3
26th Nov,8,4,Pre-change,Chicken4,O,0,08:55:00,09:04:00,1,0,9
26th Nov,8,4,Pre-change,Chicken4,O,0,27:17:00,27:29:00,0,0,12
26th Nov,8,4,Pre-change,Chicken4,B,1,02:47:00,02:49:00,0,0,2
26th Nov,8,4,Pre-change,Chicken4,B,1,25:16:00,25:21:00,0,0,5
28th Nov,10,5,Pre-change,Chicken1,O,0,16:03:00,16:36:00,1,0,33
28th Nov,10,5,Pre-change,Chicken1,O,0,21:09:00,21:26:00,1,0,17
28th Nov,10,5,Pre-change,Chicken1,O,0,25:35:00,25:57:00,1,0,22
28th Nov,10,5,Pre-change,Chicken1,O,0,28:54:00,28:56:00,0,0,2
28th Nov,10,5,Pre-change,Chicken1,B,1,02:25:00,02:27:00,1,0,2
28th Nov,10,5,Pre-change,Chicken1,B,1,02:43:00,02:47:00,1,0,4
28th Nov,10,5,Pre-change,Chicken1,B,1,11:33:00,15:57:00,0,0,144
28th Nov,10,5,Pre-change,Chicken1,B,1,17:14:00,21:02:00,1,0,168
28th Nov,10,5,Pre-change,Chicken2,O,0,07:12:00,07:14:00,0,0,2
28th Nov,10,5,Pre-change,Chicken2,O,0,09:03:00,09:07:00,0,0,4
28th Nov,10,5,Pre-change,Chicken2,O,0,12:55:00,13:19:00,0,0,24
28th Nov,10,5,Pre-change,Chicken2,O,0,20:38:00,20:55:00,0,0,17
28th Nov,10,5,Pre-change,Chicken2,B,1,02:25:00,02:27:00,0,0,2
28th Nov,10,5,Pre-change,Chicken2,B,1,05:45:00,06:33:00,0,0,48
28th Nov,10,5,Pre-change,Chicken2,B,1,07:15:00,09:00:00,1,0,105
28th Nov,10,5,Pre-change,Chicken2,B,1,09:13:00,09:32:00,0,0,19
28th Nov,10,5,Pre-change,Chicken2,B,1,10:25:00,11:26:00,0,0,61
28th Nov,10,5,Pre-change,Chicken2,B,1,13:27:00,14:24:00,0,0,57
28th Nov,10,5,Pre-change,Chicken2,B,1,29:05:00,30:00:00,0,0,55
28th Nov,10,5,Pre-change,Chicken3,O,0,14:23:00,14:49:00,0,0,26
28th Nov,10,5,Pre-change,Chicken3,O,0,16:17:00,16:43:00,1,0,26
28th Nov,10,5,Pre-change,Chicken3,O,0,17:39:00,17:51:00,0,0,14
28th Nov,10,5,Pre-change,Chicken3,O,0,19:03:00,19:22:00,0,0,19
28th Nov,10,5,Pre-change,Chicken3,O,0,20:49,21:24,0,0,35
28th Nov,10,5,Pre-change,Chicken3,B,1,02:28:00,05:39,0,0,191
28th Nov,10,5,Pre-change,Chicken3,B,1,03:18:00,04:44:00,0,0,86
28th Nov,10,5,Pre-change,Chicken3,B,1,04:55:00,06:42:00,0,0,107
28th Nov,10,5,Pre-change,Chicken3,B,1,07:33:00,11:27:00,0,0,234
28th Nov,10,5,Pre-change,Chicken3,B,1,13:47:00,14:07:00,0,0,20
28th Nov,10,5,Pre-change,Chicken3,B,1,14:55:00,15:25:00,1,0,30
28th Nov,10,5,Pre-change,Chicken3,B,1,18:05:00,18:49:00,1,0,44
28th Nov,10,5,Pre-change,Chicken3,B,1,19:53,20:39,0,0,45
28th Nov,10,5,Pre-change,Chicken3,B,1,25:35:00,25:55:00,1,0,20
