Bird_ID,Date,Days_Old,Session,Onset_Of_Binocularity,Vertical_Extent,Horizontal_Binocular_Width,Area_Steradians,Area_Percentage,Beak_Length,Interocular_Distance,Comb_Length,Comb_Height
1,10th Feb,25,4,-8,148,38,0.3862,3.07,16,26,18,4
1,11th Feb,26,5,10,130,46,0.5379,4.28,17,26,19,5
1,16th Feb,31,6,23,117,45,0.4409,3.51,18,28,20,6
1,18th Feb,33,7,24,116,48,0.4188,3.33,18,28,21,6
1,30th Jan,14,1,20,120,39,0.3983,3.17,N/A,22,14,2
1,3rd Feb,18,2,50,90,30,0.1773,1.41,13,22,15,2
1,5th Feb,20,3,21,119,43,0.3819,3.04,15,24,17,4
2,10th Feb,25,4,-21,161,38,0.5074,4.04,19,26,21,5
2,12th Feb,27,5,-6,146,46,0.5533,4.4,19,28,22,6
2,16th Feb,31,6,-15,155,47,0.5353,4.26,21,31,27,11
2,18th Feb,33,7,-20,160,42,0.4435,3.5,21,31,28,13
2,30th Jan,14,1,-25,165,30,0.432,3.44,N/A,22,12,2
2,3rd Feb,18,2,32,108,40,0.3551,2.83,15,24,14,2
3,12th Feb,27,5,5,135,47,0.4634,3.69,15,24,12,2
3,16th Feb,31,6,12,128,32,0.3492,2.78,15,24,12,3
3,18th Feb,33,7,4,136,37,0.3598,2.86,16,27,16,5
3,4th Feb,18,2,34,106,20,0.1737,1.38,12,23,0,0
3,6th Feb,21,3,33,107,27,0.2188,1.74,13,24,7,2
4,11th Feb,26,4,8,132,33,0.403,3.21,14,25,0,0
4,12th Feb,27,5,21,119,32,0.3571,2.84,14,26,0,0
4,17th Feb,32,6,29,111,36,0.3278,2.61,15,28,0,0
4,20th Feb,35,7,15,125,33,0.2921,2.32,15,28,0,0
4,2nd Feb,17,1,53,87,16,0.0476,0.38,12,23,0,0
4,4th Feb,19,2,27,113,26,0.2431,1.93,12,23,0,0
4,6th Feb,21,3,18,122,24,0.2084,1.66,13,24,0,0
5,11th Feb,26,4,-2,142,37,0.4038,3.21,15,23,0,0
5,12th Feb,27,5,1,139,47,0.5035,4.01,16,24,0,0
5,17th Feb,32,6,-2,142,49,0.5187,4.13,16,25,0,0
5,20th Feb,35,7,6,134,42,0.4548,3.62,16,26,0,0
5,3rd Feb,18,1,31,109,25,0.2242,1.78,9,22,0,0
5,4th Feb,19,2,2,138,31,0.3325,2.65,9,22,0,0
5,9th Feb,22,3,-12,152,42,0.5638,4.49,14,23,0,0
6,11th Feb,26,4,28,112,33,0.2855,2.27,15,25,0,0
6,13th Feb,28,5,7,133,36,0.2805,2.23,15,25,0,0
6,17th Feb,32,6,24,116,36,0.3143,2.5,15,27,0,0
6,20th Feb,35,7,32,108,28,0.2081,1.66,16,28,0,0
6,3rd Feb,18,1,21,119,29,0.1901,1.51,12,23,0,0
6,4th Feb,19,2,-6,146,36,0.4201,3.34,12,23,0,0
6,6th Feb,21,3,23,117,30,0.2949,1.99,14,23,0,0
7,11th Feb,26,4,7,133,31,0.2989,2.38,15,26,0,0
7,13th Feb,28,5,18,122,38,0.3261,2.59,16,27,0,0
7,18th Feb,33,6,-1,141,37,0.3571,2.84,17,29,0,0
7,20th Feb,35,7,-3,143,39,0.4565,3.63,18,30,0,0
7,5th Feb,20,2,0,140,40,0.389,3.1,11,24,0,0
8,11th Feb,26,4,-23,163,48,0.5893,4.69,15,23,0,0
8,13th Feb,28,5,-17,157,49,0.5762,4.59,15,24,0,0
8,17th Feb,32,6,-3,143,43,0.5144,4.09,15,26,0,0
8,20th Feb,35,7,1,139,38,0.4319,3.44,16,27,0,0
8,5th Feb,20,2,-28,168,47,0.6083,4.84,14,21,0,0
8,9th Feb,22,3,-35,175,54,0.6517,5.19,14,22,0,0
